trajectory_cluster,source,class,vehicle_count,track_ids
4,main,car,98,2055|2241|2263|2817|2855|2977|3107|3124|3135|3151|3194|3218|3242|3270|3305|3341|3476|5447|5530|5535|5536|5544|5545|5562|5669|5850|5905|5953|5967|6019|6056|6086|6131|6210|8204|8250|8255|8267|8379|8383|8413|8424|8427|8446|8451|8528|10564|10604|10805|10866|10896|10916|10932|11057|11072|11080|11085|11090|11102|11118|11168|11185|13071|13208|13210|13232|13257|13372|13441|13507|13514|13543|13604|13621|13638|13645|13681|13719|13737|15331|15535|15606|15650|15663|15871|15886|15938|16023|16068|16127|16158|16178|16274|16350|16379|16416|16549|16580
4,main,motorcycle,87,1909|1931|1971|2096|2114|2594|2646|2692|2696|2744|2767|2777|2779|2882|3023|5459|5577|5597|5599|5616|5621|5661|5662|5806|5851|5882|5985|6017|6082|6193|8153|8164|8168|8203|8218|8220|8272|8282|8294|8309|8397|8425|8848|10568|10595|10618|10635|10639|10732|10733|10751|10775|10777|10779|10797|10819|10915|10945|10951|10994|11112|12927|13140|13272|13284|13285|13306|13347|13378|13387|13392|13414|13420|13430|13444|13819|15312|15370|15379|15803|15818|15832|15846|15899|15995|16032|16044
4,main,truck,1,15616
5,main,car,12,2282|8245|8265|8431|8438|10623|10851|11147|13623|13687|16167|16519
6,main,car,4,2875|5877|8375|13104
6,main,motorcycle,4,5628|6004|8269|15358
7,main,bus,2,3062|13793
7,main,motorcycle,3,5733|13311|15423
8,main,car,32,3778|3802|3842|3885|3915|3927|6604|6633|6660|6682|6708|9116|9167|9206|9311|9323|9330|11285|11304|11339|13864|13936|13952|13969|13993|13999|14003|16669|16790|16851|16868|16905
9,main,car,4,5341|5367|10494|15277
9,main,truck,1,15251
10,main,motorcycle,3,8329|10946|13361
11,main,car,1,8353
11,main,truck,2,8357|13576
12,main,car,3,2078|6371|13129
